,Control1,Control2,Control3,Control4,Control5,Control6,Patient1,Patient2,Patient3,Patient4,Patient5,Patient6
RNU6-1308P,0,0,0,0,0,0,0,0,0.163,0,0.3397,0.2612
RNU6-122P,0.1287,1.9335,1.3904,0,0.8063,0.3157,0.7275,0.2058,1.4122,0.1265,0.1635,2.0116
RNU6-453P,0,0,0.2188,0,0,0.2649,0,0,0,0,0,0
RN7SKP282,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP219,0,0.233,0,0.1334,0,0,0.1052,0.186,0,0.1829,0.1773,0.3181
RNU2-56P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-826P,0,0,0.3576,0.1899,0.1185,0,0,0,1.9372,0,0.1682,0
RNA5SP268,0,0,0,0,0,0,0,0,0,0,0,0
RNU2-24P,0.0963,0.3858,0.2601,0.1381,0.1724,0.0787,0,0.077,0,0.0947,0.1223,0.0941
SNOU109,0.1167,0,0,0,0,0.0954,0,0,0.4268,0,0,0.456
RNU6-678P,0.1263,0.5061,0.1706,0,0.2261,0.3099,0.5713,0.202,0.7702,0.7452,0.1605,0.6171
RNA5SP137,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1136P,1.7208,0.3978,0.5365,0,0,0.2165,0.4491,0.5293,0.4843,2.2129,0.3364,0.5174
RNU7-30P,0,0.2225,0,0,0,0,0,0.1776,0,0.2184,0.2821,0.8679
RNU7-111P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP416,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP480,0,0,0,0,0,0,0,0,0,0,0,0.1234
RNA5SP75,0,0.3728,0,0,0,0,0,0,0,0,0,0
RNU6-557P,0,0,0,0,0,0,0,0.1001,0.1526,0,0.159,0.1223
RNA5SP444,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-6P,0,0,1.4998,0,0,0,0,0,0,0,0,0.8679
RN7SKP88,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-786P,0.153,0,0,0,0.5478,0.5004,0.173,0,0,0.3008,1.9436,1.0463
RNU6-1088P,0,0,0.1788,0,0.1185,0,0,0.1059,0.1614,0,0,0
RNU6-782P,0,0,0,0,0,0,0,0,0.3229,0,0.1682,0.2587
RNA5SP523,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP421,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP102,0,0,0,0,0,0,0,0,0,0,0,0
SNORA81,0,0.2434,0.547,0,0.145,0.3312,0.2747,0.1295,0.0988,1.0353,0.2058,0.6331
RNA5SP449,0.8471,0,0,0,0.2844,0.0866,0.3593,0,0.2583,0,0.2691,0.1035
RNU1-97P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6ATAC36P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-928P,0,0,0,0,0.1185,0,0,0,0.1614,0,0,0
RNU6-1234P,0,0,0,0,0.1197,0,0.1512,0,0,0,0,0.2612
RNU6-579P,0,0,0,0,0,0.1104,0,0.2159,0.1646,0.1327,0,0
MIR2276,0,0.155,0,0,0.5539,0.253,0,0.2474,0,0,0.1965,0.3023
RNA5SP34,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP209,0,0,0,0,0,0,0,0,0.5523,0,0,0.0885
SNORA21B,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-110P,1.3322,0,2.0997,0,0,0,0,0,0,0,0,0.217
RN7SKP277,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-175P,0,0,0,0,0,0,0,0,0,0,0,0
RNU11-2P,0.1939,0.1943,0,0,0.1736,0.0793,0.1096,0.2326,0.5912,0,0,0.3789
RNU6-295P,0,0,0,0,0,0,0,0,0.3229,0,0,0
RN7SKP116,0,0,0,0.1238,0.1545,0.0706,0,0.0345,0.7895,0,0.1097,0
SCARNA14,0,0.2028,0.8205,0.5809,0.0906,0.0828,0.1145,0.081,0.6173,0,0.2572,0.1978
RNU6-1198P,0,0.2059,0,0,0,0,0,0.1643,0.5012,0,0,0.2008
RNA5SP392,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP260,0,0,0,0,0,0,0,0,0,0,0,0.0903
RNU6-352P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-612P,0,0,0,0,0,0,0,0,0,0,0.343,0.1319
RNU6-1258P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-798P,0,0,0,0,0,0,0,0.1069,0,0,0,0
RNU6-677P,0,0.4097,0,0.7821,0.2441,0.3344,0.1541,0,0.1662,0,0.866,0.3996
RNU6-765P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP94,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-971P,0,0,0,0,0,0,0,0,1.1087,0,0.165,0.1269
RNU6-980P,0,0,0,0,0,0,0,0,0.163,0,0,0
RNU6-528P,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-151P,0,0.5205,0,0.3726,0.2325,0.2124,0.2938,0.2077,0,0,0,1.0153
RNU6-850P,0.9356,4.8205,2.5278,1.1504,5.6238,6.3404,1.3604,3.3136,5.8681,3.2859,1.8681,6.3996
RNA5SP143,0,0,0,0,0,0,0,0,0,0,0,0.234
RNU6-273P,0,0,0,0,0,0,0,0,0.5247,0,0,0.1401
RNA5SP364,0,0.7073,1.1921,0.5064,0.158,0.2887,0,0,0,0.3471,0.6728,1.0348
RNU7-116P,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-70P,0,0.6269,0,0,0,0.1706,0.7077,1.0009,0.2544,0,0.5301,0.8153
RNU6-143P,0,0.1483,1.1998,0,0,0.1211,0,0.1184,0.1805,0,0,0
RNU6-210P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-703P,0.7719,0.1289,0.1738,0,0.1152,0.3157,0.1455,0.1029,1.2553,0,0.1635,0.2514
RNU6-577P,0.2809,0.8444,0.7591,0.6046,0.503,0,0.1589,0,0.1713,0.2763,1.071,0.6863
RN7SKP96,0.0464,0.0464,0,0,0,0,0,0,0.0565,0,0,0.0453
RNU6-445P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP54,0,0,0,0,0,0,0,0,0,0,0,0
RNU2-31P,0.3553,0,0,0,0.159,0.0726,0,0,0.1083,0.262,0.1129,0.0868
RNU6-1092P,0,0.4756,0.2138,0,0.1417,0,0,0,0,0,0.2011,0.6185
RNU6-255P,0,0,0,0,0,0.1072,0,0.3146,0,0,0,0
RNU6-250P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-856P,0,1.6888,0.1898,1.0076,2.1379,0.3447,1.1121,0.7864,1.7132,1.1051,2.6774,3.0199
RNU6-943P,0,0,0,0,0,0,0,0,0.3426,0,0,0.1373
RNU7-4P,0,0.2225,0,0,0,0.3632,0,0,0,0,0,0.217
RNU6-714P,0,0,0,0,0,0.4373,0,0,0,0,0,0.2612
RNU4ATAC10P,0,0,0,0,0,0,0,0,0,0,0,0
SCARNA24,0,0.2122,0,0,0.7584,0.1732,0,0.0847,0,0.1041,0,0.8278
RNU6-182P,1.5733,0.1314,0,0,0.1174,0.1072,0.2966,0.1049,0,0.1289,0.4998,0.5125
RNA5SP471,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-341P,0.5736,0.431,0.1937,0.4114,0.1284,0,0.4865,0.3441,0.8744,0.141,1.4577,1.4013
RNU6-835P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP60,0,0,0.0778,0,0,0,0,0,0.1405,0,0,0.0563
RNU6-56P,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-11P,0,0.2225,0,0.3185,0,0.908,0.2511,0.3552,0.2708,0.4367,0,0.6509
RN7SKP272,0,0.0594,0,0,0.1594,0.0485,0.0671,0.0475,0.0724,0,0.1508,0
SCARNA6,0,0,0,0,0.0518,0,0,0.0463,0.7054,0,0.0735,0.3957
RNU6-958P,0,0,0,0,0.1163,0.1062,0.2938,0.3116,0.1584,0.1277,0.165,0.6345
RNA5SP420,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1006P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-345P,0,0,0,0,0,0,0,0,0,0,0,0.1257
RN7SKP2,0,0,0,0,0,0,0,0,0.4211,0,0,0
RN7SKP233,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-410P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP337,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-388P,0,0.3941,0.1771,0,0.1174,0.2145,0.5931,0.6291,0.7995,0.3868,0.4998,0.1281
RNU6-148P,0,0,0,0,0,0,0,0,0,0,0,0
SNORA48,0,0,0,0,0.1385,0.3795,0,0.3711,0.1886,0,0,0.4534
RNU1-92P,0,0,0,0,0,0,0,0.0816,0,0.1003,0,0
RN7SKP11,0,0,0,0,0,0.0392,0,0,0,0,0,0.0469
RNA5SP135,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1212P,0,0,0.7153,0,0.1185,0,0,0,0,0,0,0.1293
RNA5SP186,0,0.1467,0,0,0,0,0,0,0,0,0,0
RN7SKP99,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-419P,0,0,0,0.3135,0,0.1787,0,0.3495,0.7995,0,0,0.4271
SNORA44,0,1.0216,0.861,0.5486,0.5706,1.0426,0,0.3058,2.0209,1.2535,0.3239,1.121
RNA5SP101,0,0,0.3444,0,0,0,0.2883,0,0.1555,0,0.4859,0.1246
RNU2-46P,0.1218,0,0.4937,0,0.1091,0.5979,0.4133,0,0,0.3594,0,0.7143
RNA5SP230,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-117P,0.0871,0,0,0,0.078,0,0,0,0,0,0,0
RN7SKP5,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP503,0,0,0.1589,0,0,0,0,0,0.1435,0,0,0.23
RNU6-389P,0,0,0.1771,0,0.1174,0,0,0,0.6396,0,0,0
