,Control1,Control2,Control3,Control4,Control5,Control6,Patient1,Patient2,Patient3,Patient4,Patient5,Patient6
MIR1184-3,0,0,0,0,0,0,0,0,0,0,0,0
MIR1293,0,2.1368,3.1432,0.5563,2.2566,0.1586,1.7542,0.3101,0,1.7161,0.4927,0.7579
SNORD88,0,0.7578,2.248,0,0.1354,0.2475,0.5133,0,0.738,0.2975,0.3844,0.2957
MIR1185-2,0,0,0,0,0,0,0,0,0,0,0.2034,0
MIR548H4,0,0,0,0,0,0,0,0,0,0,0,0
MIR1302-4,0,0,0,0,0,0.0751,0,0,0.2239,0,0,0
MIR1179,0,0,0,0,0,0,0,0,0,0,0,0.1478
MIR1276,0,0.3323,0,0,0,0.814,0.1876,0.1326,0,0.6524,0.843,0.4862
MIR1268A,0,0,0.7153,0,0,0,0,0.2117,0.6457,0,0,0
MIR1233-1,0,0,0,0,0,0,0,0,0,0,0,0
MIR1267,0,0,0,0,0,0.1444,0,0,0,0,0,0
MIR1225,0,0,0.2066,0,0,0,0,0,0,0,0,0
MIR1290,0,0,0,0,0,0.1444,0,0,0,0.1736,0,0
MIR548N,0,0.3678,0,0,1.4789,0.3003,0,0.1468,0,0.361,0.2332,1.0762
RNU6ATAC,0.7648,0.1095,0.738,0,0.2934,0.6255,0.2471,1.1359,1.599,0.2149,0.1388,0.4271
MIR1278,0.5099,0,0,0,0,0,0,0.1359,0.6218,0,0,0.3322
MIR1275,0,0,0,0,0,0,0,0,0,0,0,0
MIR548H3,0,0,0,0,0,0,0,0,0,0,0,0.114
MIR302E,0,0,0,0,0,0,0,0,0,0,0,0
SNORA11E,0,0,0,0,0,0,0,0,0,0,0,0
MIR1298,0,0,0,0,0,0,0,0,0,0,0,0
SNORD75,0,0,0,0,0,0,0,0,0,0,0,0
SNORA3C,0,0.2207,0.1488,0,0,0,0,0,0,0,0,0.4305
RNU6ATAC25P,0,0,0.1589,0,0,0,0.1331,0,1.0045,0,0,0.3449
MIR548I1,0.1848,0.2777,0.3744,0,0.0827,0.1511,0.3135,0,0,0,0.1174,0.0903
MIR1203,0,0,0,0.697,0.145,0.3974,0,0.2591,0.1975,0,0.2058,5.2227
SNORD93,0.9301,0.5591,3.7697,0,0.3331,0,0.4208,1.6366,1.5882,0.9147,0.7092,2.1815
MIR1197,0,0,0,0,0,0,0,0,0,0,0,0
MIR1273A,0.1337,0.1339,0,0,0,0,0,0.1069,0,0,0,0
MIR1260A,0,0,0,0,0,0,0,0,0,0,0,0
MIR548J,0,0.2463,0,0.529,0.2201,0.2011,0.139,0.0983,0,0,0.3124,0.4804
MIR1289-1,0,0,0,0,0,0.0782,0,0,1.1659,0.094,0,0.3737
MIR1302-7,0,0,0,0,0,0,0,0,0,0,0,0
MIR1205,0,0,0,0,0.1956,0,0,0.5243,0,0.8596,0,0.4271
MIR548F2,0,0,0,0,0,0,0,0,0,0,0,0
MIR1183,0,0.155,0.4179,0,0.1385,0.1265,0.5248,0.1237,0.7546,0.1521,0.1965,0.3023
MIR1252,0,0,0,0,0,0.1732,0,0,0,0,0.2691,0
MIR1282,0,0,0,0,0,0,0,0,0,0,0,0
MIR548H2,0,0,0,0,0,0,0,0,0,0,0,0
RNU6ATAC34P,0.3413,0.6839,0,0,0,0.0931,0.1287,0,0,0.1119,0,0.3335
MIR1256,0,0,0,0,0,0,0,0,0.2822,0.1138,0,0.5652
OR6B1,0,0,0.0036,0,0,0.0022,0,0,0.0032,0,0,0.0078
PPP3CB-AS1,0.5823,1.1597,0.6448,0.291,1.2372,0.8277,0.5506,0.4867,0.914,1.5209,0.9977,1.5649
EBF2,0.3859,0.2429,0.1362,0.1057,0.2483,0.2903,0.3926,0.0388,0.1963,0.0267,0.3007,1.7228
GAS8-AS1,0.1246,0.111,0.0374,0.0993,0.1488,0.5777,0.1096,0.3655,0.2027,0.1771,0.1232,0.4872
C6ORF226,8.6008,6.2646,5.8095,6.0631,4.359,13.0386,5.3107,4.9613,4.5817,2.0903,2.7322,4.1299
PPP3R1,7.0345,8.909,14.8655,10.6261,11.9839,8.8732,10.0291,15.0221,9.1334,10.0529,9.7914,8.3857
PSG3,0,0,0.0219,0,0,0.0033,0,0,0,0,0.0051,0.0198
FANCG,0.1011,0.148,0.2364,0.0112,0.1462,0.2894,0.2111,0.5007,0.2419,0.4513,0.2718,0.1634
OR2A5,0.0063,0.0016,0.0129,0.0045,0.0057,0.0026,0.0018,0.0063,0.0058,0.0031,0.0121,0.0217
KRTAP10-9,0,0,0,0,0,0,0,0,0,0,0,0
AP4M1,1.6326,3.6919,2.4891,1.2882,2.6544,4.6737,2.7234,2.5577,2.3502,7.4571,2.7413,3.1708
OR4A5,0,0,0,0.0369,0,0,0,0,0,0,0,0
C2ORF16,0.0873,0.1791,0.2256,0.0819,0.2269,0.2066,0.1139,0.2443,0.9868,0.2121,0.0629,0.31
DPP3P2,0,0,0,0,0.0436,0.0066,0,0.0195,0,0,0.0206,0.0317
C7ORF65,0,0,0,0,0,0.0077,0,0,0,0,0,0.0092
AC018880.1,0,0,0.0282,0,0,0,0.0118,0,0.1782,0,0.0133,0.0612
KRTAP1-5,0,0.0117,0,0.1169,0.0625,0,0,0,0.1135,0,0,0
TAS2R41,0,0,0.0403,0,0,0,0,0.0715,0,0,0,0.1747
AC020907.2,0,0,0,0,0,0,0,0.015,0,0,0,0
OR2A12,0,0.0033,0.0267,0.0142,0.0414,0.0081,0.0149,0.0079,0.008,0,0.0419,0.029
KRTAP10-10,0,0,0,0,0,0,0,0,0,0,0,0.0245
KRTAP12-2,0,0,0,0,0,0,0,0,0,0,0,0.0364
PLXNA4,1.7447,0.2948,0.1715,0.8046,0.4562,1.1705,0.4707,0.0834,0.9394,0.0364,0.8077,0.4297
MAGEA3,0,0.0078,17.0657,0.1114,5.3525,0,0.4478,0,0.0189,0,16.5552,0.0076
CEBPD,508.0829,69.4998,359.3598,306.0348,69.3208,69.1591,87.0589,43.8717,47.351,158.8772,49.0822,76.1152
ZNF816-ZNF321P,0,0,0,0,0,0,0,0,0,0,0,0
PSG7,0,0,0,0.0041,0,0,0,0,0.0104,0,0.0036,0
MRPS21P3,0.1051,0.0526,0,0.0754,0,0,0.1188,0.042,0.0641,0,0,0
KRTAP1-3,0,0,0,0,0.0124,0,0,0,0,0,0,0.0271
OR3A2,0.0051,0.0258,0.0278,0.0074,0.0138,0.0126,0.0349,0.0041,0.0565,0,0.0393,0.1861
ARIH2OS,1.3343,1.2574,0.8567,1.0803,1.8333,1.1995,0.6425,0.4226,0.9023,1.0784,1.108,1.2006
ZBED8,0.3391,1.139,0.7034,0.2398,0.6971,2.1332,1.6639,0.8786,2.7147,0.9536,1.2018,1.601
HMSD,0.0471,0.2078,0.0828,0.2299,0.1308,0.2698,0.0959,0.0603,0.0287,0.5006,0.0599,0.6309
OR1C1,0,0,0,0,0,0,0,0,0,0,0,0
NPTXR,8.6233,1.0409,2.6891,2.1409,4.9954,7.0648,2.4488,0.1549,6.8684,0.274,1.0111,4.4464
FAM218BP,0,0,0,0,0,0,0,0,0,0,0,0
POM121L12,0,0,0,0,0,0,0,0,0,0,0,0
FAM200A,1.1349,2.2281,2.5025,1.723,2.5469,4.2,2.6246,1.9781,5.3503,3.2381,2.0758,2.8993
OR2F2,0,0,0,0,0,0,0,0,0,0,0,0
PPP2R2A,4.0497,8.1083,1.2077,9.3087,5.1393,4.5555,12.3955,9.246,8.3421,12.1344,14.5607,6.3361
C19ORF73,0.3339,0.7063,0.9775,1.6502,1.4617,3.1564,1.7835,1.0535,1.1314,1.6786,0.8487,0.4714
ZNF880,1.4066,1.717,2.7553,2.9579,1.1798,1.205,0.8038,0.3819,1.7652,0.1383,1.2747,5.2232
TRIM16,1.7232,4.1841,1.9026,9.9097,1.0096,0.8085,4.966,2.2488,1.8665,5.1632,3.5388,4.0452
FAM45BP,0.0509,0.0679,0.1374,0.2311,0.4174,0.1248,0.1246,0.1424,0.2791,0.125,0.14,0.1325
OR6X1,0,0,0,0,0,0,0,0,0,0,0,0
HEPN1,0,0,0,0,0,0,0,0,0,0,0,0
OR2A25,0,0,0.01,0.0107,0.0067,0.0061,0.0084,0,0.0453,0,0.0283,0.0073
TAS2R40,0,0,0,0.0568,0.0236,0.0216,0,0.0106,0,0,0,0
OR2A14,0,0,0,0,0.0056,0.0152,0.007,0,0,0.0122,0,0.0061
TIGD1,0.1402,0.8389,0.6046,0.216,0.6481,1.697,0.5994,0.8973,1.7733,1.0039,1.3077,0.917
FXYD7,0.2683,0.0998,0.0414,0.055,0.2196,0.0815,0.0693,0.0981,0.2431,0.0075,0.0584,0.8239
XKR9,0.3782,0.3087,0.3832,0.0201,0.4671,1.0827,4.0239,2.5431,4.9843,2.6036,3.2529,1.2936
LINC01465,0.1206,0.263,0.834,0.397,0.2795,0.2844,0.1204,0.1589,0.2164,0.1745,0.0451,0.1526
C1ORF229,0.2195,0.2749,0.0247,0.1749,0.1146,0.2344,0.0483,0.0098,0.1338,0.1499,0.0077,0.1251
OR4C12,0,0,0,0,0,0,0,0,0,0,0,0.0253
SLC12A8,0.2267,12.7204,3.519,5.0381,5.3415,7.0489,3.7041,2.6016,2.9245,6.7787,6.6951,2.7598
KIR2DS4,0.0257,0,0.0694,0.0246,0.1533,0.028,0.6293,0.0205,0.1253,0,0,0.2342
TMEM14EP,0.3505,0.1064,0.1148,0,0.0951,0.1043,0.1562,0.2039,0.1555,0.1254,0.1755,0.6747
APOL6,8.7042,21.2053,24.955,6.6007,27.5181,11.6199,37.2462,38.0017,10.1687,7.8336,32.9862,23.2813
FADS3,3.0424,2.176,3.6609,1.3461,3.3465,2.2595,1.7686,0.7784,5.3137,1.0561,1.1256,4.5824
OR2A1,0,0.0089,0.0161,0.0171,0.0373,0.0097,0.0235,0.0024,0.0254,0,0.0038,0.1626
TTC4P1,0.0119,0.0476,0.0161,0.0171,0.0213,0.0097,0.0134,0.038,0.087,0.0234,0.0906,0.1975
OR4E2,0,0,0.0391,0,0.0043,0,0.0055,0,0.1235,0.0047,0,0.0047
CCNL2,4.8243,26.2002,8.1527,5.3369,18.4572,24.1467,9.5702,11.1959,9.9116,13.1392,18.4542,17.939
UBA52,96.7498,69.7127,126.098,105.2545,42.7467,45.405,72.8693,72.3223,91.2929,76.3393,90.8785,108.1122
MYBPHL,0.1643,0.0314,0.3277,0.1235,5.7244,0.192,0.0089,0.0063,8.9244,0,0.0199,0
PPT2,1.9492,2.7931,3.665,2.2519,4.8409,2.0159,2.0879,1.9336,2.0172,4.3038,1.9529,1.337
OR2A2,0,0,0,0,0.0117,0.0214,0,0,0,0,0.0499,0.0128
EXOC3-AS1,1.0761,0.9455,0.9505,0.8669,1.6304,2.539,0.9175,0.6885,1.2317,0.6024,0.5049,0.6957
ZNF630,0.6058,0.8676,0.8099,0.2594,0.2897,1.3802,0.6206,0.4718,0.8433,0.5927,1.1326,1.0198
TIAF1,0.2399,0.7107,0.331,0.2664,0.7505,1.3882,0.6768,0.9097,2.1675,0.8371,0.5867,2.1576
OR52B4,0,0,0,0.0176,0,0.01,0,0,0,0,0,0.012
AC092675.1,0.0118,0,0,0,0,0.1064,0,0,0.0865,0.0116,0,0.0116
AC106876.1,0.4233,1.425,0.5261,0.0243,0.3638,0.3185,0.8234,1.8688,0.5163,1.6818,0.7746,0.7115
C7ORF71,0.0068,0.0544,0.0458,0.0097,0,0.0333,0.0767,0.0054,0.0745,0,0.0517,0.1392
LINC01118,0.0574,0.0698,0.0166,0.0118,0.0293,0.0436,0.0185,0.0328,0.1149,0.0201,0.026,0.1121
AC064874.1,0.1606,0.023,0,0,0.0411,0.0938,0.0519,0.1468,0.0839,0.0226,0,0.2915
BTBD19,1.5526,1.2303,2.3458,1.0941,1.9467,2.8053,2.4371,1.3981,6.9638,1.723,2.2611,2.0446
FAM185A,1.5486,1.8952,1.4992,1.071,1.9555,1.4936,2.0709,2.1705,1.7595,7.4958,2.4101,1.8387
AC005481.1,0.004,0.0599,0.2421,0,0.2104,0.0228,0.0315,0,0.3109,0.0157,0.0405,0.1868
RAB6C,0.0493,0.0808,0.0182,0.0835,0.0361,0.0696,0.076,0.0537,0.0546,0.1322,0.0626,0.1007
AC011997.1,0.0133,0.0668,0.1261,0.1148,0.2986,0.4255,0.1358,0.0533,1.4642,0.1574,0.0509,0.2998
C21ORF140,0,0,0,0,0.0128,0,0,0,0,0,0,0
URAHP,0.1588,0.1532,0.1033,0.2954,0.3002,0.4283,0.1198,0.287,0.2439,0.1967,0.2766,0.2127
AC062017.1,1.4597,0.2025,0.5461,0.3866,0.2614,0.3674,0.4572,0.3412,0.7669,0.5521,0.3139,0.2414
AC112721.1,0.0936,0,0,0,0.1886,0.5936,0.1589,0,0.2284,0,0.5057,0.2059
AC004945.1,0.014,0,0,0,0,0,0,0,0,0,0,0
PSMB11,0,0,0.0201,0,0,0.0061,0,0.006,0,0,0.0095,0.0437
LINC01793,0,0,0,0,0,0,0,0,0.0495,0.6716,0,0.0132
AC023469.1,0,0,0,0,0.0263,0,0,0,0.3938,0,0,0
AC112721.2,0,0.1275,0.0344,0,0.2506,0.8325,0.2878,0,0.4034,0.1501,0.3557,0.2238
LINC01124,0.052,0.9186,1.0454,0.2146,0.6287,2.7072,0.2795,2.5015,0.5948,0.2622,0.3718,0.3304
AC079354.1,0.0082,0.0164,0.022,0.0059,0.0365,0.0133,0.0092,0.0065,0.1145,0,0.0104,0.0797
POTEM,0.0415,0.0237,0.0454,0.034,0.0477,0.0323,0.038,0.0095,0.0193,0.1165,0.0176,0.0521
IGLC6,1.5199,1.1747,1.2906,0.7476,0.1166,0.1776,0.2947,0.2084,6.0908,0.1708,0.607,1.8248
POTEJ,0.1185,0.09,0.1435,0.1758,0.0951,0.0535,0.1201,0.0784,0.0747,0.1125,0.0882,0.1277
CYTOR,0.2101,0.3001,0.8272,0.461,0.459,0.5677,0.5588,0.4798,0.39,0.6137,0.3114,0.4014
AP001341.1,0,0.0141,0,0.0806,0.0126,0,0,0.0112,0.0171,0,0.0535,0.0412
AC079305.1,0.3586,0.2488,0,0.752,0.1976,0.3836,0.156,0.3089,0.0673,0.2984,0.1753,0.2426
AL031587.1,0.0783,0,0.0176,0,0.0117,0.0534,0.059,0.0417,0.0637,0,0.0166,0.0255
DCDC2B,0.162,0.2288,0.2587,0.1162,0.2836,0.1868,0.1916,0.0766,0.3503,0.1304,0.2059,0.8133
C10ORF55,0.0438,0.0165,0.0592,0.0393,0.1128,0.1031,0.0496,0.0307,0.0601,0.0916,0.0626,0.0375
RNU6-1165P,1.1579,0.7734,1.3904,0.5537,0.9215,0.1052,0.873,0.3087,2.5106,0,1.1444,1.6344
RNA5SP177,0,0,0,0.1846,0,0,0,0,0,0,0,0
RNU4-62P,9.7422,2.8645,14.5915,1.0634,1.0428,1.559,10.7785,2.9641,2.1955,3.02,0.9419,4.967
RNU4-86P,0.1257,0.063,0.4246,0,0,0,0,0.2011,0.3067,0,0,0.0614
RN7SKP154,0,0,0,0.2043,0,0,0,0.0759,0,0,0,0.0464
RN7SKP285,0,0.1301,0,0,0.1163,0.0354,0.0979,0.0346,0.1056,0,0.055,0.2961
MIR1915,0,0.1724,0,0,0,0.4222,0.3892,0,0,0.1692,0,0
RNU2-3P,0,0,0,0,0,0,0,0.0576,0,0,0,0
RN7SKP110,0,0.0968,0,0.2772,0,0.1185,0.0546,0,0,0,0,1.1328
RNU6-721P,0,0,0,0,0,0,0,0,0.3198,0,0,0
RNU6-908P,0.1464,0,0.3957,0,0,0,0,0.2342,0,0,0,0.4293
RNU2-65P,0,0.0746,0,0,0.0666,0,0.1683,0,0,0.0732,0,0
RN7SKP32,0,0,0,0,0,0.0372,0,0,0,0,0.0577,0.0888
RN7SKP232,0,0,0,0,0,0,0.0537,0,0,0,0,0.0464
RN7SKP117,0,0,0,0,0,0,0,0,0.4452,0,0,0.051
RNA5SP317,0,0.8323,0,0.3405,1.3812,1.2619,0.9395,1.7084,1.1579,0.5835,1.8096,3.9429
RN7SKP148,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP16,0.5985,0.8764,0.1244,0.1982,1.0717,0.7908,0.6769,0.3682,0.73,0.3169,0.5265,1.5747
RNU6-985P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP487,0,0,0,0,0,0,0,0,0.1376,0,0,0
RNU6-648P,0,0,0,0,0,0,0,0,0,0,0,0.2514
RNA5SP390,0,0.4882,0.3292,0,0,0,0.1378,0,0,0.1198,0.774,0.7143
RNU2-9P,0,0,0,0,0,0,0,0,0,0,0,0.0928
RNA5SP36,0,0,0,0,0,0,0,0,0.1262,0,0,0
RNU6-380P,0,0,0,0,0,0,0,0,0,0,0.1635,0.1257
RNU4-37P,0,0,0,0,0,0,0,0,0,0,0,0
RNY4P30,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP239,0,0,0,0,0,0,0.1207,0,0.1302,0,0.4068,0
RN7SKP218,0,0,0,0,0,0,0,0,0,0,0,0.1843
RN7SKP151,0,0.1309,0,0.375,0.039,0.0356,0,0,0.1063,0,0.0554,0.4683
RN7SKP266,0,0.0481,0,0,0,0,0,0,0,0,0,0.0937
RNU6-257P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP146,0,0,0,0,0,0,0,0,0.3519,0,0,0.0403
RNU4-30P,0,0.0964,0,0,0.1724,0.1575,0.1089,0.077,0.3522,0.0947,0.1223,1.1289
RNA5SP181,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP26,0,0.0941,0.2539,0,0.2103,0.2306,0.1063,0.0752,0.0573,0,0.3582,0.505
RNA5SP156,0,0.1254,0.6763,0.5386,0,0.1024,0.1415,0.5004,0,0.2461,0,0.6115
RNU4-26P,0,0,0,0,0,0.1052,0,0,0,0,0.327,0
RNA5SP266,0,0,0,0,0,0,0,0.1019,0,0,0,0
RNA5SP407,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP129,0,0.2338,0,0,0.1044,0.0954,0.1319,0.1866,0,0.1147,0.2965,0.456
RNA5SP56,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP65,0,0,0,0,0,0,0,0,0.1609,0.0433,0,0
RNU6-588P,0,0.2627,0,0.1881,0.1174,0.1072,0,0,0,0.2579,0,0.2562
RN7SKP129,0,0,0,0,0,0,0,0,0,0,0,0.045
RNU2-17P,0,0.0726,0,0,0,0.1185,0,0.0579,0.0884,0,0,0
RNU6-447P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP158,0,0,0,0,0,0,0,0,0,0,0,0.2638
RNU2-54P,0,0,0,0,0,0,0,0,0.0884,0,0,0
RNA5SP89,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP163,0,0,0,0,0,0,0,0,0,0,0,0.2718
RNU2-43P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP156,0,0,0,0,0,0,0,0,0,0,0,0.0393
RNA5SP431,0,0,0,0,0,0,0,0,0.1399,0,0,0.1121
MIR1471,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP201,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-262P,0,0.2378,0,0,0,0.0971,0.2684,0.0949,0.2895,0,0.6032,0.5798
RNA5SP95,0,0,0.543,0,0,0,0,0,0.1226,0,0,0.0982
RNU6-101P,0,0.9283,0,0,0.1185,0.2165,0.7485,0,0,0,0,0.5174
RN7SKP199,0,0,0,0,0,0,0,0,0.055,0,0,0
RN7SKP114,0,0,0,0,0,0,0,0,0.0602,0,0,0.0964
RNU6-757P,0.413,0.8275,0.186,0,0.493,0.563,0.7784,0.4404,0.1679,0.2708,0,0.5381
RNU6-892P,0.5562,0.1393,0,0,0,0,0.4718,0,0,0,0.7068,0.4076
RNA5SP425,0,0.1231,1.6605,0.3527,0.6602,0.7037,0.278,0.2949,0.4497,0.4835,0.3124,1.081
RNU2-33P,0,0.1437,0.2906,0,0,0.1173,0.5676,0.5161,0.5247,0.141,0.4555,0.3503
RN7SKP111,0,0,0,0,0,0,0,0.0406,0,0,0,0
RNU6-584P,0,0.8711,0.3915,0,0.1297,0.237,0.6555,0.2318,0,0.1425,0.1841,1.9824
RNA5SP193,0,0,0,0,0,0,0.1455,0,0,0,0,0.2514
RNU6-1043P,0.2781,0.4179,0.7514,0,0.3735,0.1137,0,0.1112,0.6784,0.1367,0.5301,0.8153
RNU2-36P,0,0,0.0974,0.1034,0.1291,0.059,0,0.1729,0.7032,0,0,0.1409
RNU6-1156P,0,0.2758,0.186,0,0.1232,0.1126,0.3114,0.2202,0,0.1354,0.1749,0.9417
RNU2-21P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP371,0,0,0.8927,2.6859,0,0,0.3737,0,0.2686,0,0,0
RNU6-935P,0,0,0,0,0,0,0,0,0,0,0,0.1345
RNA5SP198,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP178,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP267,0,0.0484,0,0,0,0,0,0,0,0,0,0
RNU6-1118P,0,0,0,0.3798,0,0,0,0,0.1614,0,0,0
RNA5SP118,0,0.2531,0.1706,0,0.2261,0.1033,0.2857,0,0.154,0,0,0.4937
RNU6-1050P,0,0.1289,0.5214,0,0,0.1052,0,0.2058,0,0,0,0.5029
MIR1912,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-855P,0,0.1326,0.3576,0,0.237,0.2165,0,0,0.3229,0,0,0.2587
RNU2-2P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1076P,0,0,0.1788,0,0,0,0,0,0,0,0,0
RN7SKP225,0,0.0392,0,0,0,0,0.0442,0,0.0477,0,0,0
RNU6-174P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP139,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-613P,1.0197,0.8939,0.3444,0,0.1141,0.1043,0.1442,0.1019,0.7773,0.2507,0.4859,0.4982
RNA5SP237,0,0,0.1646,0,0,0,0.2756,0.0974,0.2972,0,0.1548,0.3571
RNY1P15,0.6433,0.1289,0,0,0.3455,0.3157,0,0.1029,0.4707,0,0.4904,0.6286
RN7SKP221,0,0,0.0618,0,0,0,0.0517,0,0.0558,0,0,0
RNU2-29P,0,0,0,0,0,0,0.0824,0,0.2665,0,0,0
RNU6-710P,0,0,0,0,0,0,0,0,0.3198,0,0,0
RNU2-20P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-355P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1186P,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-34P,0,0,0.5999,0,0,0,0,0,0,0.1092,0.1411,0.1085
SNORD12B,0,0.3031,0,0,0,0,0.1711,0.121,0,0,0.5767,0
SNORA36B,0,0,0,0,0,0,0,0,0.3845,0,0,0
RN7SKP202,0,0,0,0,0,0,0,0,0.2544,0,0.053,0.0408
RN7SKP127,0,0,0,0,0,0,0.044,0,0.1897,0,0,0.228
RN7SKP152,0,0,0,0,0,0,0,0,0.0533,0,0,0.0427
RNA5SP44,0.207,0,0,0.7425,0.0927,0.254,0.3512,0,0.1262,0.1018,0.1315,0.4046
RNA5SP203,0,0.5071,0.2735,0.5809,0.2719,0.6623,0.5724,0.6476,1.6049,0.6968,0.1286,1.6815
RN7SKP158,0,0,0,0,0,0.0691,0.0955,0.2026,0.618,0,0.1073,0.0413
RN7SKP86,0,0,0,0,0,0,0,0,0,0,0,0.081
RNU2-28P,0.2185,0.2189,0,0,0.1304,0,0.1648,0.1748,0.1777,0,0,0.3559
RN7SKP229,0,0,0,0,0,0,0,0,0,0,0,0.0445
RNU6-554P,0.1299,0,0.1754,0,0.1163,0.2124,0.1469,0,0.9503,0.1277,1.4852,0.2538
RNU6-791P,0,0,0,0.1899,0,0,0.1497,0,0,0,0,0.1293
RN7SKP281,0,0,0,0,0.1401,0,0,0.0626,0,0.0385,0,0.1911
RNU4-65P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP80,0,0,0.3351,0,0,0,0.1403,0,0,0,0.1576,0.1212
RN7SKP125,0,0,0,0,0,0,0,0,0,0,0,0
RNU2-59P,0.1441,0,0.1947,0,0.1936,0,0.0815,0.1729,0.4395,1.1341,0.0916,0.2817
RNA5SP274,0,0,0,0,0,0,0,0,0.4664,0,0,0.1246
RNA5SP113,0,0,0,0,0.4402,0.134,0,0,0.7995,0,0,0
RNA5SP511,0,0,0,0,0,0,0,0,0,0,0,0.117
RNU2-50P,0.1925,0,0,0,0.0862,0.0787,0,0,0.2348,0,0.6116,0
RNA5SP338,0,0,0,0,0,0.1325,0,0,0,0,0,0
RNA5SP231,0,0,0,0,0,0,0,0,0,0,0,0.2924
RNU6-955P,0,0,1.6094,0,0,0,0,0,0.6457,0,0,0
RNU6-141P,0,0.3941,0,0,0,0.1072,0,0.734,0,0,0,0.8968
RN7SKP278,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1077P,0,0,0,0,0.1208,0,0,0,0.9876,0,0.343,0.5275
RNU6-994P,0,0,0,0,0,0,0,0,0,0,0,0
RNU2-26P,0,0,0,0,0,0,0,0,0,0.0709,0,0.0704
RN7SKP56,0.0832,0.3333,0.0562,0.0597,0.2234,0.068,0.047,0.2994,0,0.0409,0.1585,0.6096
RN7SKP150,0.1715,0.2148,0.8111,0,0.6911,0.5262,0.6305,0.1029,0.4184,0.2109,0.4904,1.0896
RNU6-1140P,0,0,0,0,0,0.1062,0,0,0,0,0,0
RN7SKP143,0,0,0.18,0,0,0,0,0,0,0,0,0
RN7SKP59,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP296,0,0.2485,0,0,0,0.1014,0.2805,0.0992,0.1513,0,0.1576,0.9695
RNU6-121P,0,0,0,0,0,0,0,0,0.848,0,0,0.1359
RNA5SP293,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP271,0.1291,0.6034,0.3487,0,0.1155,0.6334,0.2919,0.3096,1.1543,0.1269,0.2733,0.9669
RNU2-5P,0.3059,0.0766,0.5166,0.1097,0.2739,0.6255,0.346,0,0.5596,0.9025,0.2915,0.5979
RNA5SP261,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP7,0,0,0,0,0,0,0,0,0,0,0,0
RNU2-23P,0,0.0707,0.0954,0,0.0632,0.0577,0,0.0565,0.0861,0.2777,0,0.3449
RNU6-77P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-285P,0,0.1379,0,0,0,0,0,0.2202,0.1679,0,0.1749,0.1345
SNORA79B,0.3721,0.8387,1.2566,0.1334,0.4996,0.913,0.9468,0.8927,1.4747,1.2806,1.3001,0.4545
RNU6-712P,0,0,0,0.1975,0,0,0,0,0,0,0,0.1345
RN7SKP200,0,0,0,0,0,0,0,0,0,0,0.0547,0
RN7SKP177,0.0776,0,0.0524,0,0,0,0,0,0.1892,0,0,0.0379
RNA5SP475,0,0,0,0,0,0,0,0.1001,0,0,0,0
RNU4-25P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP223,0,0,0,0,0,0,0,0,0.5416,0,0,0.217
RN7SKP240,0,0,0.248,0,0.0657,0.1501,0.083,0,0.8954,0,0.2799,0.0717
RNA5SP451,0,0,0,0,0,0,0,0,0.1526,0,0,0
RNU6-519P,0,0,2.0663,0,0.3423,0,0,0,0,0.3761,0,0.1246
RN7SKP109,0,0,0.0589,0,0.039,0,0,0,1.222,0,0.0554,0.1703
MIR1468,0,0,0,0,0,0,0,0,0.3905,0,0,0
RNU6-705P,0,0,0,0,0,0.2165,0,0,0,0,3.7003,0.2587
RNU2-39P,0,0,0.5635,0,0,0,0,0,0.6784,0,0.0883,0.4076
RN7SKP220,0,0,0,0,0,0,0,0,0,0,0,0.0467
RNU6-735P,0,0,0,0,0,0,0,0,0.1569,0,0,0
RNA5SP251,0,0,0,0,0,0,0,0,0,0,0,0.0982
